review_id,product_category,review_body,rating,verified,split,sentiment
R000000,Kitchen,Compared to the chair it replaced 7 weeks ago this one is defective. I would not put this in front of a guest.,2,True,train,negative
R000001,Office,The router arrived on day 1 and the build quality felt fine. There are better options if you can spend more.,3,True,test,neutral
R000002,Office,After 16 weeks of daily use the headset still looks defective. Support have ignored two emails so far.,2,True,test,negative
R000003,Audio,Honestly the monitor was acceptable for the 96 pounds I paid. It sits in a drawer more often than not.,3,True,train,neutral
R000004,Office,Setup took about 51 minutes and the whole toaster felt broken. It stopped working entirely on the fourth day.,1,False,train,negative
R000005,Audio,The kettle arrived on day 11 and the build quality felt perfect. It has become the one I reach for every morning.,4,True,train,positive
R000006,Office,Setup took about 7 minutes and the whole kettle felt perfect. Support answered my question the same afternoon.,5,False,train,positive
R000007,Audio,Compared to the mousepad it replaced 6 weeks ago this one is brilliant. Support answered my question the same afternoon.,4,False,train,positive
R000008,Kitchen,After 10 weeks of daily use the speaker still looks brilliant. Packaging was tidy and nothing was scratched.,4,True,test,positive
R000009,Kitchen,Honestly the mousepad was broken for the 184 pounds I paid. Support have ignored two emails so far.,1,True,test,negative
R000010,Kitchen,Ordered the blender on a whim for 109 pounds and the finish is perfect. Worth every bit of what I paid.,4,True,train, positive
R000011,Kitchen,I have used this router for 5 weeks now and it is excellent. Packaging was tidy and nothing was scratched.,4,False,train,Positive
R000012,Kitchen,Bought the router for my hallway 7 weeks back and found it broken. I have started a return and want my money back.,1,True,train,negative
R000013,Office,Honestly the monitor was terrible for the 25 pounds I paid. The listing photos do not match what turned up.,2,False,test,negative
R000014,Audio,"Compared to the blender it replaced 4 weeks ago this one is okay. No complaints, but no enthusiasm either.",3,True,train,neutral
R000015,Office,The chair arrived on day 11 and the build quality felt brilliant. My partner liked it enough to ask for one.,5,True,test,positive
R000016,Audio,The mousepad arrived on day 9 and the build quality felt outstanding. Packaging was tidy and nothing was scratched.,4,True,train,positive
R000017,Office,Bought the headset for my studio 5 weeks back and found it sturdy. I would order another without thinking twice.,5,True,train,positive
R000018,Office,Good product. Would buy again. Delivery took 37 days.,3,True,train,neutral
R000019,Kitchen,After 29 weeks of daily use the router still looks flimsy. Save your money and buy something else.,1,True,train,negative
R000020,Audio,Ordered the kettle on a whim for 71 pounds and the finish is useless. Mine arrived with a crack down one side.,2,True,train,negative
R000021,Office,Honestly the monitor was shoddy for the 101 pounds I paid. Support have ignored two emails so far.,2,True,train,negative
R000022,Office,Honestly the backpack was sturdy for the 27 pounds I paid. Support answered my question the same afternoon.,4,True,test,positive
R000023,Audio,I have used this router for 24 weeks now and it is useless. Save your money and buy something else.,1,False,test,negative
R000024,Kitchen,Compared to the kettle it replaced 11 weeks ago this one is useless. I have started a return and want my money back.,1,True,train,negative
R000025,Audio,The speaker arrived on day 1 and the build quality felt impressive. My partner liked it enough to ask for one.,5,False,train,positive
R000026,Kitchen,Ordered the lamp on a whim for 74 pounds and the finish is flawless. I would order another without thinking twice.,5,True,train,positive
R000027,Audio,"Honestly the router was okay for the 120 pounds I paid. Fine for the money, forgettable otherwise.",3,True,train,neutral
R000028,Office,Setup took about 10 minutes and the whole headset felt outstanding. Battery life beat what the listing promised.,4,False,train,positive
R000029,Audio,Compared to the chair it replaced 6 weeks ago this one is unusable. Save your money and buy something else.,1,True,train,negative
R000030,Kitchen,Setup took about 51 minutes and the whole router felt superb. My partner liked it enough to ask for one.,5,False,train,positive
R000031,Office,"The headset arrived on day 5 and the build quality felt average. No complaints, but no enthusiasm either.",5,False,test, neutral
R000032,Kitchen,Honestly the speaker was impressive for the 127 pounds I paid. Worth every bit of what I paid.,5,True,train,positive
R000033,Office,Ordered the kettle on a whim for 189 pounds and the finish is flimsy. Mine arrived with a crack down one side.,1,True,train,negative
R000034,Kitchen,"I have used this backpack for 13 weeks now and it is serviceable. Fine for the money, forgettable otherwise.",3,True,train,neutral
R000035,Kitchen,After 10 weeks of daily use the monitor still looks unremarkable. About what I expected at this price.,3,True,train,neutral
R000036,Office,Bought the monitor for my workshop 21 weeks back and found it awful. Mine arrived with a crack down one side.,1,True,train,negative
R000037,Audio,After 24 weeks of daily use the keyboard still looks flawless. Worth every bit of what I paid.,4,True,train,positive
R000038,Audio,"Setup took about 45 minutes and the whole keyboard felt okay. No complaints, but no enthusiasm either.",3,True,train,neutral
R000039,Office,Compared to the kettle it replaced 3 weeks ago this one is outstanding. It has survived two house moves already.,5,True,test,positive
R000040,Kitchen,Honestly the router was solid for the 124 pounds I paid. I would order another without thinking twice.,4,True,train,positive
R000041,Kitchen,Ordered the keyboard on a whim for 145 pounds and the finish is unusable. It stopped working entirely on the fourth day.,1,True,train,negative
R000042,Audio,Honestly the router was flawless for the 161 pounds I paid. Packaging was tidy and nothing was scratched.,4,True,train,positive
R000043,Office,Ordered the speaker on a whim for 90 pounds and the finish is defective. It rattles badly whenever it is switched on.,2,True,test,negative
R000044,Kitchen,The backpack arrived on day 5 and the build quality felt sturdy. Battery life beat what the listing promised.,4,True,test,positive
R000045,Office,The lamp arrived on day 9 and the build quality felt average. There are better options if you can spend more.,3,False,train,neutral
R000046,Audio,Honestly the toaster was perfect for the 55 pounds I paid. Packaging was tidy and nothing was scratched.,4,False,test,positive
R000047,Audio,Good product. Would order again. Arrived 22 days early.,5,True,test,positive
R000048,Audio,Honestly the backpack was defective for the 49 pounds I paid. Support have ignored two emails so far.,2,True,train,negative
R000049,Audio,After 13 weeks of daily use the blender still looks fantastic. It has survived two house moves already.,4,False,train,positive
R000050,Kitchen,Ordered the speaker on a whim for 13 pounds and the finish is excellent. Worth every bit of what I paid.,1,False,train,positive
R000051,Audio,Honestly the mousepad was excellent for the 153 pounds I paid. I would order another without thinking twice.,5,False,train,positive
